EPX,Travel Agency,Online,Cancellation Plan,No,1,SINGAPORE,11.0,0.0,50
JWT,Airlines,Online,Value Plan,No,16,INDIA,50.0,20.0,99
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,UNITED STATES,0.0,0.0,55
JZI,Airlines,Online,Basic Plan,No,11,HONG KONG,26.0,9.1,54
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,25,THAILAND,0.0,29.7,53
C2B,Airlines,Online,Bronze Plan,No,6,SINGAPORE,18.0,4.5,58
CSR,Travel Agency,Offline,Comprehensive Plan,No,72,MALAYSIA,29.0,9.57,63
ART,Airlines,Online,24 Protect,No,48,THAILAND,27.87,9.75,48
C2B,Airlines,Online,Bronze Plan,No,100,SINGAPORE,11.5,2.88,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,14,AUSTRALIA,79.2,47.52,52
C2B,Airlines,Online,Annual Silver Plan,No,418,SINGAPORE,252.85,63.21,49
C2B,Airlines,Online,Bronze Plan,No,13,SINGAPORE,47.0,11.75,57
EPX,Travel Agency,Online,Cancellation Plan,No,1,MALAYSIA,10.0,0.0,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,MALAYSIA,20.0,0.0,63
JZI,Airlines,Online,Basic Plan,No,96,HONG KONG,26.0,9.1,79
C2B,Airlines,Online,Silver Plan,No,23,SINGAPORE,54.5,13.63,46
KML,Travel Agency,Online,Value Plan,No,59,UNITED KINGDOM,109.0,41.42,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,55,NORWAY,178.2,106.92,57
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,21,UNITED KINGDOM,79.2,47.52,63
RAB,Airlines,Online,Value Plan,No,3,BRUNEI DARUSSALAM,15.0,6.0,47
EPX,Travel Agency,Online,Cancellation Plan,No,20,VIET NAM,10.0,0.0,69
JZI,Airlines,Online,Basic Plan,No,20,INDIA,40.0,14.0,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,48,UNITED STATES,9.9,5.94,59
C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,252.85,63.21,47
EPX,Travel Agency,Online,Cancellation Plan,No,51,JAPAN,50.0,0.0,56
